Chromophore,Absorption
N#Cc1cc2ccc(O)cc2oc1=O,355
N#Cc1cc2ccc([O-])cc2oc1=O,408
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,526
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,514
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,350
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,376
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,361
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,393
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,382
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,365
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,454
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,403
CCNc1cc2oc(=O)cc(C)c2cc1C,354
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,383
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,530
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,515
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,521
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,548
CCC(=O)c1ccc2cc(N(C)C)ccc2c1,342
c1ccc2ccccc2c1,286
C[Si](C)(C)c1cccc2ccccc12,294
C[SiH](C)c1cccc2ccccc12,294
CCCC[Si](C)(C)c1cccc2ccccc12,294
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,295
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,294
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,300
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,300
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,302
COc1ccc([Si](C)(C)C)c2ccccc12,312
C[Si](C)(C)c1ccc(C#N)c2ccccc12,315
C[Si](C)(C)c1cccc2c(C#N)cccc12,311
C[Si](C)(C)C#Cc1cccc2ccccc12,316
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,347
CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,411
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,375
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,398
N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,350
CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,350
